x,y,z
120767.767,69.8873,188680.0536
120767.81,69.891,188681.365
120768.046,69.907,188686.429
120768.376,69.921,188691.827
120768.709,69.95,188696.28
120769.295,69.967,188702.671
120769.742,69.994,188706.913
120770.418,70.001,188712.582
120771.449,70.046,188719.946
120772.022,70.056,188723.622
120772.557,70.079,188726.842
120773.367,70.091,188731.408
120774.384,70.109,188736.672
120775.2,70.124,188740.618
120776.504,70.136,188746.51
120777.579,70.155,188751.064
120778.89,70.161,188756.271
120780.202,70.173,188761.209
120781.502,70.19,188765.865
120782.866,70.204,188770.483
120784.445,70.221,188775.615
120785.882,70.239,188780.071
120787.598,70.254,188785.188
120789.398,70.27,188790.335
120790.994,70.28,188794.731
120792.841,70.29,188799.64
120794.588,70.299,188804.13
120796.468,70.311,188808.816
120798.4,70.321,188813.491
120800.285,70.333,188817.93
120802.517,70.331,188823.03
120804.563,70.343,188827.569
120806.549,70.355,188831.88
120809.456,70.37,188838.007
120810.989,70.39,188841.166
120813.182,70.397,188845.588
120815.521,70.423,188850.196
120817.924,70.444,188854.816
120820.167,70.473,188859.033
120822.775,70.49,188863.81
120825.016,70.518,188867.841
120827.559,70.543,188872.3
120830.061,70.568,188876.597
120832.758,70.593,188881.114
120835.178,70.614,188885.08
120838.11,70.639,188889.762
120840.781,70.661,188893.919
120843.526,70.669,188898.116
120846.188,70.691,188902.075
120848.949,70.706,188906.083
120852.106,70.718,188910.551
120854.973,70.728,188914.501
120858.052,70.75,188918.646
120860.896,70.765,188922.376
120864.175,70.78,188926.564
120867.384,70.795,188930.554
120870.635,70.811,188934.481
120873.587,70.819,188937.963
120877.191,70.834,188942.102
120880.492,70.848,188945.802
120883.962,70.862,188949.57
120888.282,70.875,188954.137
120891.07,70.883,188957.001
120894.955,70.895,188960.916
120898.323,70.906,188964.222
120901.529,70.915,188967.302
120905.807,70.925,188971.32
120909.385,70.928,188974.6
120913.02,70.93,188977.853
120917.335,70.93,188981.662
120920.818,70.932,188984.681
120928.167,70.934,188990.95
120935.414,70.943,188997.055
120943.719,70.962,189004.04
120951.027,70.985,189010.25
120958.644,71.01,189016.848
120966.041,71.045,189023.446
120973.261,71.082,189030.155
120980.13,71.136,189036.811
120987.307,71.195,189044.08
120994.208,71.248,189051.387
121000.832,71.29,189058.726
121007.315,71.339,189066.226
121013.538,71.384,189073.772
121019.683,71.419,189081.584
121025.641,71.455,189089.509
121031.372,71.488,189097.487
121035.896,71.522,189104.034
121040.955,71.56,189111.649
121045.691,71.597,189119.057
121050.236,71.641,189126.415
121054.897,71.682,189134.224
121058.154,71.723,189139.853
121063.04,71.765,189148.539
121067.852,71.794,189157.344
121072.482,71.838,189166.212
121076.982,71.862,189175.098
121081.378,71.895,189184.071
121085.665,71.932,189193.131
121089.8041,71.969,189202.2122
121089.804,71.969,189202.212
