x,y,z
121610.474,189813.708,72.977
121613.7,189818.063,72.98
121616.298,189821.617,72.987
121619.59,189826.185,72.996
121622.489,189830.262,73.007
121625.348,189834.346,73.019
121627.995,189838.189,73.03
121631.175,189842.87,73.042
121633.715,189846.666,73.061
121636.662,189851.161,73.071
121639.106,189854.957,73.088
121642.094,189859.702,73.1
121644.72,189863.991,73.117
121647.303,189868.315,73.131
121649.668,189872.388,73.142
121652.156,189876.779,73.162
121654.412,189880.899,73.17
121656.921,189885.605,73.186
121659.134,189889.907,73.188
121661.462,189894.586,73.197
121663.536,189898.907,73.209
121665.766,189903.719,73.225
121667.593,189907.79,73.236
121669.871,189913.076,73.25
121671.769,189917.675,73.258
121673.608,189922.278,73.275
121675.348,189926.827,73.287
121677.012,189931.359,73.302
121678.566,189935.77,73.325
121680.175,189940.514,73.338
121681.588,189944.858,73.354
121683.318,189950.473,73.364
121684.788,189955.467,73.378
121686.085,189960.094,73.387
121687.473,189965.27,73.398
121688.657,189969.872,73.4
121689.868,189974.744,73.404
121691.008,189979.505,73.403
121692.078,189984.127,73.4
121693.233,189989.255,73.415
121694.323,189994.256,73.424
121695.365,189999.112,73.436
121696.48,190004.414,73.447
121697.433,190009.011,73.463
